Date,Mkt-RF,SMB,HML,RF
1/3/2000,-0.71,0.55,-1.32,0.021
1/4/2000,-4.06,-0.02,2.07,0.021
1/5/2000,-0.09,0.31,-0.05,0.021
1/6/2000,-0.74,-0.44,1.24,0.021
1/7/2000,3.21,-0.4,-1.57,0.021
1/10/2000,1.75,0.87,-1.35,0.021
1/11/2000,-1.71,0.16,0.91,0.021
1/12/2000,-0.69,-0.46,0.74,0.021
1/13/2000,1.59,0.67,-0.84,0.021
1/14/2000,1.14,0.24,-0.48,0.021
1/18/2000,-0.25,2.46,-0.37,0.021
1/19/2000,0.44,0.7,-0.21,0.021
1/20/2000,-0.37,1.9,-1.13,0.021
1/21/2000,0.23,1.39,-0.3,0.021
1/24/2000,-2.59,1.15,0.7,0.021
1/25/2000,0.49,-0.5,-0.18,0.021
1/26/2000,-0.43,-0.04,0.07,0.021
1/27/2000,-0.44,-0.06,-0.54,0.021
1/28/2000,-2.81,-0.08,1.36,0.021
1/31/2000,1.5,-3.11,-0.13,0.021
2/1/2000,1.29,0.04,-0.1,0.022
2/2/2000,0.15,1.53,-0.3,0.022
2/3/2000,1.49,1.35,-1.45,0.022
2/4/2000,-0.04,1.18,-0.72,0.022
2/7/2000,0.36,1.59,-1.33,0.022
2/8/2000,1.23,0.62,-1.72,0.022
2/9/2000,-1.84,1.92,-0.28,0.022
2/10/2000,0.57,1.31,-0.62,0.022
2/11/2000,-1.74,0.99,0.75,0.022
2/14/2000,0.24,0.83,-0.2,0.022
2/15/2000,0.71,-0.58,0.07,0.022
2/16/2000,-0.58,2.04,-0.61,0.022
2/17/2000,0.43,2.1,-1.34,0.022
2/18/2000,-2.68,1.31,0.37,0.022
2/22/2000,0.13,-1.21,0.46,0.022
2/23/2000,1.23,0.69,-1.26,0.022
2/24/2000,-0.02,0.81,-0.25,0.022
2/25/2000,-1.06,1.71,0.1,0.022
2/28/2000,0.77,-0.06,-0.11,0.022
2/29/2000,1.92,1.56,-0.06,0.022
3/1/2000,1.4,0.86,-0.33,0.02
3/2/2000,-0.08,-0.26,0.65,0.02
3/3/2000,2.37,0.08,-1.17,0.02
3/6/2000,-0.71,1.48,0.52,0.02
3/7/2000,-2.21,0.45,1.19,0.02
3/8/2000,0.7,-0.19,-0.96,0.02
3/9/2000,2.43,-0.44,-0.23,0.02
3/10/2000,-0.45,0.13,0.29,0.02
3/13/2000,-1.45,-1.11,1.05,0.02
3/14/2000,-2.32,-1.16,1.22,0.02
3/15/2000,0.86,-4.48,0.7,0.02
3/16/2000,4.28,-3.41,-0.08,0.02
3/17/2000,0.62,0.44,-0.18,0.02
3/20/2000,-1.68,-2.87,2.28,0.02
3/21/2000,1.98,-2.25,-0.4,0.02
3/22/2000,1.27,2.14,-0.9,0.02
3/23/2000,1.47,-0.98,0.16,0.02
3/24/2000,0.1,-0.31,0.07,0.02
3/27/2000,-0.39,0.27,-0.36,0.02
3/28/2000,-1.34,-1.17,0.87,0.02
3/29/2000,-0.96,-2.55,2.25,0.02
3/30/2000,-1.71,-1.91,1.53,0.02
3/31/2000,1.18,0.09,0.26,0.02
4/3/2000,-1.65,-3.6,1.55,0.024
4/4/2000,-1.21,-1.46,-0.17,0.024
4/5/2000,0.02,1.54,-1.1,0.024
4/6/2000,1.48,1.44,-0.33,0.024
4/7/2000,1.42,1.39,-0.09,0.024
4/10/2000,-1.96,-3.05,1.46,0.024
4/11/2000,-1.02,-2.09,1.8,0.024
4/12/2000,-2.97,-2.43,2.34,0.024
4/13/2000,-1.81,-0.07,0.6,0.024
4/14/2000,-6.73,-1.31,2.24,0.024
4/17/2000,2.96,-1.62,-1.62,0.024
4/18/2000,3.85,3.06,-2.09,0.024
4/19/2000,-0.83,1.56,-0.02,0.024
4/20/2000,0.1,-1,0.81,0.024
4/24/2000,-1.01,-2.27,1.02,0.024
4/25/2000,3.78,0.41,-1.01,0.024
4/26/2000,-1.24,0.32,1.18,0.024
4/27/2000,0.76,1.22,-0.42,0.024
4/28/2000,0.06,2.15,0.16,0.024
5/1/2000,1.4,1.16,-1.07,0.023
5/2/2000,-2.07,-1.13,1.75,0.023
5/3/2000,-2.09,0.37,-0.4,0.023
5/4/2000,0.01,0.56,0.46,0.023
5/5/2000,1.49,0.69,-0.46,0.023
5/8/2000,-0.98,-1.67,1.46,0.023
5/9/2000,-1.19,-0.79,0.56,0.023
5/10/2000,-2.69,-0.98,0.81,0.023
5/11/2000,2.09,0.31,-0.07,0.023
5/12/2000,0.79,-0.51,0.33,0.023
5/15/2000,2.14,-0.79,-0.79,0.023
5/16/2000,1.29,0.43,-0.79,0.023
5/17/2000,-1.38,0.04,0.95,0.023
5/18/2000,-1.1,-1.15,0.91,0.023
5/19/2000,-2.39,-0.06,0.64,0.023
5/22/2000,-0.71,-1.46,0.41,0.023
5/23/2000,-2.38,-0.91,1.47,0.023
5/24/2000,1.57,-1.24,-1.24,0.023
5/25/2000,-1.3,0.22,0.57,0.023
5/26/2000,-0.18,0.04,0.32,0.023
5/30/2000,3.79,0.82,-2.34,0.023
5/31/2000,-0.25,-0.11,0.91,0.023
6/1/2000,2.5,0.68,-1.35,0.018
6/2/2000,2.91,1.61,-2.27,0.018
6/5/2000,-0.38,1.48,-0.88,0.018
6/6/2000,-0.86,0.62,0.3,0.018
6/7/2000,1.17,0.4,-0.87,0.018
6/8/2000,-0.6,0.61,0.33,0.018
6/9/2000,0.05,1.69,-0.35,0.018
6/12/2000,-1.19,-1.13,1.65,0.018
6/13/2000,1.44,-0.42,-0.57,0.018
6/14/2000,-0.18,-0.24,0.25,0.018
6/15/2000,0.49,0.05,-0.86,0.018
6/16/2000,-0.75,1.13,0.16,0.018
6/19/2000,1.65,0.3,-1.46,0.018
6/20/2000,-0.27,0.9,-0.33,0.018
6/21/2000,0.34,0.65,-0.31,0.018
6/22/2000,-1.89,-0.04,0.59,0.018
6/23/2000,-0.98,-0.04,0.61,0.018
6/26/2000,0.92,1.33,-1.23,0.018
6/27/2000,-0.55,-0.51,0.37,0.018
6/28/2000,0.78,1.77,-1.3,0.018
6/29/2000,-0.7,-0.13,1.06,0.018
6/30/2000,0.73,1.61,-1.26,0.018
7/3/2000,0.95,-0.73,0.72,0.024
7/5/2000,-1.65,-0.05,1.68,0.024
7/6/2000,0.9,0.08,-0.23,0.024
7/7/2000,1.45,-0.89,-0.58,0.024
7/10/2000,-0.12,0.22,0.39,0.024
7/11/2000,0.14,-0.32,0.21,0.024
7/12/2000,1.32,0.45,-0.68,0.024
7/13/2000,0.51,0.23,-0.58,0.024
7/14/2000,0.96,-0.41,-0.37,0.024
7/17/2000,0.12,1.13,-1.24,0.024
7/18/2000,-1.36,0.18,1.14,0.024
7/19/2000,-1.18,-0.41,1.26,0.024
7/20/2000,1.35,-0.27,-0.74,0.024
7/21/2000,-1.33,-0.44,0.93,0.024
7/24/2000,-1.43,-0.39,0.75,0.024
7/25/2000,0.53,-0.74,0.38,0.024
7/26/2000,-1.31,0.78,1.1,0.024
7/27/2000,-0.91,-1.87,2.63,0.024
7/28/2000,-2.34,-0.27,1.69,0.024
7/31/2000,1.05,0.85,-0.45,0.024
8/1/2000,0.16,-1.29,1.45,0.022
8/2/2000,0.02,-0.01,0.35,0.022
8/3/2000,1.11,-1.42,0.11,0.022
8/4/2000,0.89,-0.71,0.31,0.022
8/7/2000,1.16,0.14,-0.72,0.022
8/8/2000,0.1,-0.45,0.92,0.022
8/9/2000,-0.6,0.44,0.12,0.022
8/10/2000,-1.02,-0.4,0.98,0.022
8/11/2000,0.87,0.16,0.18,0.022
8/14/2000,1.24,-0.01,-0.39,0.022
8/15/2000,-0.46,-0.1,0.18,0.022
8/16/2000,-0.18,0.64,-0.27,0.022
8/17/2000,1.13,-0.32,-0.53,0.022
8/18/2000,-0.28,0.21,-0.26,0.022
8/21/2000,0.4,-0.02,-0.44,0.022
8/22/2000,-0.01,0.13,-0.16,0.022
8/23/2000,0.55,0.18,-0.95,0.022
8/24/2000,0.34,0.73,-0.92,0.022
8/25/2000,-0.05,0.69,-0.36,0.022
8/28/2000,0.49,-0.25,-0.34,0.022
8/29/2000,-0.04,0.63,-0.15,0.022
8/30/2000,-0.12,0.38,0.15,0.022
8/31/2000,1.15,0.17,-0.57,0.022
9/1/2000,0.38,0.1,-0.36,0.025
9/5/2000,-0.97,-0.19,1.31,0.025
9/6/2000,-1.23,-0.32,1.98,0.025
9/7/2000,0.8,0.73,-0.9,0.025
9/8/2000,-0.83,-0.83,1.22,0.025
9/11/2000,-0.45,-0.78,1.54,0.025
9/12/2000,-0.5,0.32,0.11,0.025
9/13/2000,0.28,-0.06,-0.3,0.025
9/14/2000,0.01,0.85,-0.27,0.025
9/15/2000,-1.23,-0.25,1.22,0.025
9/18/2000,-1.79,-0.35,0.59,0.025
9/19/2000,1.23,0.43,-1.39,0.025
9/20/2000,-0.39,0.76,-0.64,0.025
9/21/2000,-0.53,-0.67,0.92,0.025
9/22/2000,0.39,-0.57,-0.05,0.025
9/25/2000,-0.56,-0.4,0.57,0.025
9/26/2000,-0.95,-0.55,1.13,0.025
9/27/2000,-0.19,-0.7,0.36,0.025
9/28/2000,2.32,0.09,-1.1,0.025
9/29/2000,-1.27,0.6,1.43,0.025
10/2/2000,-0.71,-1.6,1.4,0.025
10/3/2000,-1.29,0.17,0.92,0.025
10/4/2000,0.65,0.13,-0.75,0.025
10/5/2000,-0.23,-0.24,0.32,0.025
10/6/2000,-2.17,-0.13,1.6,0.025
10/9/2000,-0.39,-0.22,0.34,0.025
10/10/2000,-1.44,-0.06,0.85,0.025
10/11/2000,-1.77,-0.07,0.95,0.025
10/12/2000,-2.83,0.54,1.23,0.025
10/13/2000,3.88,-0.57,-2.15,0.025
10/16/2000,0.23,-0.19,-0.43,0.025
10/17/2000,-1.95,0.17,0.69,0.025
10/18/2000,-0.83,-0.37,0.69,0.025
10/19/2000,3.65,-0.49,-2.25,0.025
10/20/2000,0.91,0.52,-1.16,0.025
10/23/2000,0.03,0.63,-0.53,0.025
10/24/2000,-0.12,-0.99,1.14,0.025
